time,pressure
0.0,10.0722
0.0001,10.0756
0.0002,10.0789
0.0003,10.0823
0.0004,10.0856
0.0005,10.089
0.0006,10.0923
0.0007,10.0956
0.0008,10.0989
0.0009,10.1022
0.001,10.1055
0.0011,10.1087
0.0012,10.112
0.0013,10.1153
0.0014,10.1185
0.0015,10.1217
0.0016,10.125
0.0017,10.1282
0.0018,10.1314
0.0019,10.1346
0.002,10.1377
0.0021,10.1409
0.0022,10.1441
0.0023,10.1472
0.0024,10.1504
0.0025,10.1535
0.0026,10.1567
0.0027,10.1598
0.0028,10.1629
0.0029,10.166
0.003,10.1691
0.0031,10.1722
0.0032,10.1752
0.0033,10.1783
0.0034,10.1814
0.0035,10.1844
0.0036,10.1875
0.0037,10.1905
0.0038,10.1935
0.0039,10.1965
0.004,10.1995
0.0041,10.2025
0.0042,10.2055
0.0043,10.2085
0.0044,10.2115
0.0045,10.2144
0.0046,10.2174
0.0047,10.2203
0.0048,10.2233
0.0049,10.2262
0.005,10.2291
0.0051,10.2321
0.0052,10.235
0.0053,10.2379
0.0054,10.2408
0.0055,10.2436
0.0056,10.2465
0.0057,10.2494
0.0058,10.2523
0.0059,10.2551
0.006,10.258
0.0061,10.2608
0.0062,10.2636
0.0063,10.2665
0.0064,10.2693
0.0065,10.2721
0.0066,10.2749
0.0067,10.2777
0.0068,10.2805
0.0069,10.2832
0.007,10.286
0.0071,10.2888
0.0072,10.2915
0.0073,10.2943
0.0074,10.297
0.0075,10.2998
0.0076,10.3025
0.0077,10.3052
0.0078,10.308
0.0079,10.3107
0.008,10.3134
0.0081,10.3161
0.0082,10.3188
0.0083,10.3214
0.0084,10.3241
0.0085,10.3268
0.0086,10.3295
0.0087,10.3321
0.0088,10.3348
0.0089,10.3374
0.009,10.3401
0.0091,10.3427
0.0092,10.3453
0.0093,10.3479
0.0094,10.3505
0.0095,10.3532
0.0096,10.3558
0.0097,10.3584
0.0098,10.3609
0.0099,10.3635
0.01,10.3661
0.0101,10.3687
0.0102,10.3712
0.0103,10.3738
0.0104,10.3764
0.0105,10.3789
0.0106,10.3815
0.0107,10.384
0.0108,10.3865
0.0109,10.389
0.011,10.3916
0.0111,10.3941
0.0112,10.3966
0.0113,10.3991
0.0114,10.4016
0.0115,10.4041
0.0116,10.4066
0.0117,10.4091
0.0118,10.4115
0.0119,10.414
0.012,10.4165
0.0121,10.4189
0.0122,10.4214
0.0123,10.4238
0.0124,10.4263
0.0125,10.4287
0.0126,10.4312
0.0127,10.4336
0.0128,10.436
0.0129,10.4384
0.013,10.4409
0.0131,10.4433
0.0132,10.4457
0.0133,10.4481
0.0134,10.4505
0.0135,10.4529
0.0136,10.4553
0.0137,10.4576
0.0138,10.46
0.0139,10.4624
0.014,10.4648
0.0141,10.4671
0.0142,10.4695
0.0143,10.4719
0.0144,10.4742
0.0145,10.4765
0.0146,10.4789
0.0147,10.4812
0.0148,10.4836
0.0149,10.4859
0.015,10.4882
0.0151,10.4905
0.0152,10.4929
0.0153,10.4952
0.0154,10.4975
0.0155,10.4998
0.0156,10.5021
0.0157,10.5044
0.0158,10.5067
0.0159,10.509
0.016,10.5113
0.0161,10.5135
0.0162,10.5158
0.0163,10.5181
0.0164,10.5204
0.0165,10.5226
0.0166,10.5249
0.0167,10.5272
0.0168,10.5294
0.0169,10.5317
0.017,10.5339
0.0171,10.5362
0.0172,10.5384
0.0173,10.5406
0.0174,10.5429
0.0175,10.5451
0.0176,10.5473
0.0177,10.5495
0.0178,10.5518
0.0179,10.554
0.018,10.5562
0.0181,10.5584
0.0182,10.5606
0.0183,10.5628
0.0184,10.565
0.0185,10.5672
0.0186,10.5694
0.0187,10.5716
0.0188,10.5738
0.0189,10.576
0.019,10.5782
0.0191,10.5803
0.0192,10.5825
0.0193,10.5847
0.0194,10.5869
0.0195,10.589
0.0196,10.5912
0.0197,10.5934
0.0198,10.5955
0.0199,10.5977
0.02,10.5998
0.0201,10.602
0.0202,10.6041
0.0203,10.6063
0.0204,10.6084
0.0205,10.6106
0.0206,10.6127
0.0207,10.6148
0.0208,10.617
0.0209,10.6191
0.021,10.6212
0.0211,10.6233
0.0212,10.6255
0.0213,10.6276
0.0214,10.6297
0.0215,10.6318
0.0216,10.6339
0.0217,10.636
0.0218,10.6382
0.0219,10.6403
0.022,10.6424
0.0221,10.6445
0.0222,10.6466
0.0223,10.6487
0.0224,10.6508
0.0225,10.6529
0.0226,10.6549
0.0227,10.657
0.0228,10.6591
0.0229,10.6612
0.023,10.6633
0.0231,10.6654
0.0232,10.6674
0.0233,10.6695
0.0234,10.6716
0.0235,10.6737
0.0236,10.6757
0.0237,10.6778
0.0238,10.6799
0.0239,10.6819
0.024,10.684
0.0241,10.6861
0.0242,10.6881
0.0243,10.6902
0.0244,10.6923
0.0245,10.6943
0.0246,10.6964
0.0247,10.6984
0.0248,10.7005
0.0249,10.7025
0.025,10.7046
0.0251,10.7066
0.0252,10.7087
0.0253,10.7107
0.0254,10.7127
0.0255,10.7148
0.0256,10.7168
0.0257,10.7189
0.0258,10.7209
0.0259,10.7229
0.026,10.725
0.0261,10.727
0.0262,10.729
0.0263,10.731
0.0264,10.7331
0.0265,10.7351
0.0266,10.7371
0.0267,10.7392
0.0268,10.7412
0.0269,10.7432
0.027,10.7452
0.0271,10.7472
0.0272,10.7493
0.0273,10.7513
0.0274,10.7533
0.0275,10.7553
0.0276,10.7573
0.0277,10.7593
0.0278,10.7614
0.0279,10.7634
0.028,10.7654
0.0281,10.7674
0.0282,10.7694
0.0283,10.7714
0.0284,10.7734
0.0285,10.7754
0.0286,10.7774
0.0287,10.7794
0.0288,10.7814
0.0289,10.7834
0.029,10.7854
0.0291,10.7874
0.0292,10.7894
0.0293,10.7914
0.0294,10.7934
0.0295,10.7954
0.0296,10.7974
0.0297,10.7994
0.0298,10.8014
0.0299,10.8034
0.03,10.8054
0.0301,10.8074
0.0302,10.8094
0.0303,10.8114
0.0304,10.8134
0.0305,10.8154
0.0306,10.8174
0.0307,10.8194
0.0308,10.8214
0.0309,10.8234
0.031,10.8254
0.0311,10.8273
0.0312,10.8293
0.0313,10.8313
0.0314,10.8333
0.0315,10.8353
0.0316,10.8373
0.0317,10.8393
0.0318,10.8413
0.0319,10.8433
0.032,10.8452
0.0321,10.8472
0.0322,10.8492
0.0323,10.8512
0.0324,10.8532
0.0325,10.8552
0.0326,10.8572
0.0327,10.8592
0.0328,10.8611
0.0329,10.8631
0.033,10.8651
0.0331,10.8671
0.0332,10.8691
0.0333,10.8711
0.0334,10.8731
0.0335,10.875
0.0336,10.877
0.0337,10.879
0.0338,10.881
0.0339,10.883
0.034,10.885
0.0341,10.887
0.0342,10.889
0.0343,10.8909
0.0344,10.8929
0.0345,10.8949
0.0346,10.8969
0.0347,10.8989
0.0348,10.9009
0.0349,10.9029
0.035,10.9049
0.0351,10.9068
0.0352,10.9088
0.0353,10.9108
0.0354,10.9128
0.0355,10.9148
0.0356,10.9168
0.0357,10.9188
0.0358,10.9208
0.0359,10.9228
0.036,10.9247
0.0361,10.9267
0.0362,10.9287
0.0363,10.9307
0.0364,10.9327
0.0365,10.9347
0.0366,10.9367
0.0367,10.9387
0.0368,10.9407
0.0369,10.9427
0.037,10.9447
0.0371,10.9467
0.0372,10.9487
0.0373,10.9507
0.0374,10.9527
0.0375,10.9547
0.0376,10.9567
0.0377,10.9587
0.0378,10.9607
0.0379,10.9627
0.038,10.9647
0.0381,10.9667
0.0382,10.9687
0.0383,10.9707
0.0384,10.9727
0.0385,10.9747
0.0386,10.9767
0.0387,10.9787
0.0388,10.9807
0.0389,10.9827
0.039,10.9847
0.0391,10.9867
0.0392,10.9887
0.0393,10.9907
0.0394,10.9927
0.0395,10.9947
0.0396,10.9967
0.0397,10.9988
0.0398,11.0008
0.0399,11.0028
0.04,11.0048
0.0401,11.0068
0.0402,11.0088
0.0403,11.0108
0.0404,11.0129
0.0405,11.0149
0.0406,11.0169
0.0407,11.0189
0.0408,11.0209
0.0409,11.023
0.041,11.025
0.0411,11.027
0.0412,11.029
0.0413,11.0311
0.0414,11.0331
0.0415,11.0351
0.0416,11.0371
0.0417,11.0392
0.0418,11.0412
0.0419,11.0432
0.042,11.0453
0.0421,11.0473
0.0422,11.0493
0.0423,11.0514
0.0424,11.0534
0.0425,11.0554
0.0426,11.0575
0.0427,11.0595
0.0428,11.0616
0.0429,11.0636
0.043,11.0656
0.0431,11.0677
0.0432,11.0697
0.0433,11.0718
0.0434,11.0738
0.0435,11.0759
0.0436,11.0779
0.0437,11.08
0.0438,11.082
0.0439,11.0841
0.044,11.0861
0.0441,11.0882
0.0442,11.0902
0.0443,11.0923
0.0444,11.0944
0.0445,11.0964
0.0446,11.0985
0.0447,11.1005
0.0448,11.1026
0.0449,11.1047
0.045,11.1067
0.0451,11.1088
0.0452,11.1109
0.0453,11.1129
0.0454,11.115
0.0455,11.1171
