time,pressure
0.0,7.864
0.001,7.898
0.002,7.932
0.003,7.966
0.004,8.0
0.005,8.033
0.006,8.067
0.007,8.101
0.008,8.134
0.009,8.167
0.01,8.2
0.011,8.233
0.012,8.266
0.013,8.298
0.014,8.331
0.015,8.363
0.016,8.395
0.017,8.427
0.018,8.459
0.019,8.49
0.02,8.522
0.021,8.553
0.022,8.584
0.023,8.615
0.024,8.645
0.025,8.675
0.026,8.705
0.027,8.735
0.028,8.765
0.029,8.794
0.03,8.824
0.031,8.853
0.032,8.881
0.033,8.91
0.034,8.938
0.035,8.966
0.036,8.994
0.037,9.022
0.038,9.049
0.039,9.076
0.04,9.103
0.041,9.129
0.042,9.156
0.043,9.182
0.044,9.208
0.045,9.233
0.046,9.259
0.047,9.284
0.048,9.309
0.049,9.333
0.05,9.358
0.051,9.382
0.052,9.406
0.053,9.429
0.054,9.453
0.055,9.476
0.056,9.498
0.057,9.521
0.058,9.543
0.059,9.566
0.06,9.587
0.061,9.609
0.062,9.63
0.063,9.651
0.064,9.672
0.065,9.693
0.066,9.713
0.067,9.733
0.068,9.753
0.069,9.773
0.07,9.792
0.071,9.812
0.072,9.83
0.073,9.849
0.074,9.868
0.075,9.886
0.076,9.904
0.077,9.921
0.078,9.939
0.079,9.956
0.08,9.973
0.081,9.99
0.082,10.007
0.083,10.023
0.084,10.039
0.085,10.055
0.086,10.071
0.087,10.086
0.088,10.101
0.089,10.117
0.09,10.131
0.091,10.146
0.092,10.16
0.093,10.175
0.094,10.188
0.095,10.202
0.096,10.216
0.097,10.229
0.098,10.242
0.099,10.255
0.1,10.268
0.101,10.281
0.102,10.293
0.103,10.305
0.104,10.317
0.105,10.329
0.106,10.34
0.107,10.352
0.108,10.363
0.109,10.374
0.11,10.385
0.111,10.396
0.112,10.406
0.113,10.417
0.114,10.427
0.115,10.437
0.116,10.447
0.117,10.456
0.118,10.466
0.119,10.475
0.12,10.484
0.121,10.493
0.122,10.502
0.123,10.511
0.124,10.519
0.125,10.527
0.126,10.536
0.127,10.544
0.128,10.552
0.129,10.559
0.13,10.567
0.131,10.574
0.132,10.582
0.133,10.589
0.134,10.596
0.135,10.603
0.136,10.61
0.137,10.616
0.138,10.623
0.139,10.629
0.14,10.636
0.141,10.642
0.142,10.648
0.143,10.653
0.144,10.659
0.145,10.665
0.146,10.67
0.147,10.676
0.148,10.681
0.149,10.686
0.15,10.691
0.151,10.696
0.152,10.701
0.153,10.706
0.154,10.71
0.155,10.715
0.156,10.719
0.157,10.723
0.158,10.727
0.159,10.732
0.16,10.735
0.161,10.739
0.162,10.743
0.163,10.747
0.164,10.75
0.165,10.754
0.166,10.757
0.167,10.761
0.168,10.764
0.169,10.767
0.17,10.77
0.171,10.773
0.172,10.776
0.173,10.778
0.174,10.781
0.175,10.784
0.176,10.786
0.177,10.789
0.178,10.791
0.179,10.793
0.18,10.795
0.181,10.798
0.182,10.8
0.183,10.802
0.184,10.803
0.185,10.805
0.186,10.807
0.187,10.809
0.188,10.81
0.189,10.812
0.19,10.813
0.191,10.815
0.192,10.816
0.193,10.817
0.194,10.818
0.195,10.82
0.196,10.821
0.197,10.822
0.198,10.823
0.199,10.823
0.2,10.824
0.201,10.825
0.202,10.826
0.203,10.826
0.204,10.827
0.205,10.827
0.206,10.828
0.207,10.828
0.208,10.829
0.209,10.829
0.21,10.829
0.211,10.829
0.212,10.829
0.213,10.829
0.214,10.829
0.215,10.829
0.216,10.829
0.217,10.829
0.218,10.829
0.219,10.829
0.22,10.828
0.221,10.828
0.222,10.828
0.223,10.827
0.224,10.827
0.225,10.826
0.226,10.826
0.227,10.825
0.228,10.824
0.229,10.824
0.23,10.823
0.231,10.822
0.232,10.821
0.233,10.82
0.234,10.819
0.235,10.818
0.236,10.817
0.237,10.816
0.238,10.815
0.239,10.814
0.24,10.812
0.241,10.811
0.242,10.81
0.243,10.809
0.244,10.807
0.245,10.806
0.246,10.804
0.247,10.803
0.248,10.801
0.249,10.799
0.25,10.798
0.251,10.796
0.252,10.794
0.253,10.793
0.254,10.791
0.255,10.789
0.256,10.787
0.257,10.785
0.258,10.783
0.259,10.781
0.26,10.779
0.261,10.777
0.262,10.775
0.263,10.772
0.264,10.77
0.265,10.768
0.266,10.766
0.267,10.763
0.268,10.761
0.269,10.758
0.27,10.756
0.271,10.753
0.272,10.751
0.273,10.748
0.274,10.746
0.275,10.743
0.276,10.74
0.277,10.738
0.278,10.735
0.279,10.732
0.28,10.729
0.281,10.726
0.282,10.723
0.283,10.72
0.284,10.717
0.285,10.714
0.286,10.711
0.287,10.708
0.288,10.705
0.289,10.702
0.29,10.698
0.291,10.695
0.292,10.692
0.293,10.688
0.294,10.685
0.295,10.682
0.296,10.678
0.297,10.675
0.298,10.671
0.299,10.668
0.3,10.664
0.301,10.66
0.302,10.657
0.303,10.653
0.304,10.649
0.305,10.645
0.306,10.641
0.307,10.638
0.308,10.634
0.309,10.63
0.31,10.626
0.311,10.622
0.312,10.618
0.313,10.614
0.314,10.609
0.315,10.605
0.316,10.601
0.317,10.597
0.318,10.593
0.319,10.588
0.32,10.584
0.321,10.58
0.322,10.575
0.323,10.571
0.324,10.566
0.325,10.562
0.326,10.557
0.327,10.553
0.328,10.548
0.329,10.543
0.33,10.539
0.331,10.534
0.332,10.529
0.333,10.524
0.334,10.52
0.335,10.515
0.336,10.51
0.337,10.505
0.338,10.5
0.339,10.495
0.34,10.49
0.341,10.485
0.342,10.48
0.343,10.475
0.344,10.469
0.345,10.464
0.346,10.459
0.347,10.454
0.348,10.449
0.349,10.443
0.35,10.438
0.351,10.432
0.352,10.427
0.353,10.422
0.354,10.416
0.355,10.411
0.356,10.405
0.357,10.4
0.358,10.394
0.359,10.388
0.36,10.383
0.361,10.377
0.362,10.371
0.363,10.366
0.364,10.36
0.365,10.354
0.366,10.348
0.367,10.342
0.368,10.337
0.369,10.331
0.37,10.325
0.371,10.319
0.372,10.313
0.373,10.307
0.374,10.301
0.375,10.295
0.376,10.289
0.377,10.283
0.378,10.276
0.379,10.27
0.38,10.264
0.381,10.258
0.382,10.252
0.383,10.246
0.384,10.239
0.385,10.233
0.386,10.227
0.387,10.22
0.388,10.214
0.389,10.208
0.39,10.201
0.391,10.195
0.392,10.188
0.393,10.182
0.394,10.175
0.395,10.169
0.396,10.163
0.397,10.156
0.398,10.149
0.399,10.143
0.4,10.136
0.401,10.13
0.402,10.123
0.403,10.116
0.404,10.11
0.405,10.103
0.406,10.097
0.407,10.09
0.408,10.083
0.409,10.076
0.41,10.07
0.411,10.063
0.412,10.056
0.413,10.049
0.414,10.043
0.415,10.036
0.416,10.029
0.417,10.022
0.418,10.015
0.419,10.009
0.42,10.002
0.421,9.995
0.422,9.988
0.423,9.981
0.424,9.974
0.425,9.967
0.426,9.961
0.427,9.954
0.428,9.947
0.429,9.94
0.43,9.933
0.431,9.926
0.432,9.919
0.433,9.912
0.434,9.905
0.435,9.898
0.436,9.891
0.437,9.884
0.438,9.877
0.439,9.871
0.44,9.864
0.441,9.857
0.442,9.85
0.443,9.843
0.444,9.836
0.445,9.829
0.446,9.822
0.447,9.815
0.448,9.808
0.449,9.801
0.45,9.794
0.451,9.787
0.452,9.78
0.453,9.773
0.454,9.766
0.455,9.759
0.456,9.753
0.457,9.746
0.458,9.739
0.459,9.732
0.46,9.725
0.461,9.718
0.462,9.711
0.463,9.704
0.464,9.697
0.465,9.69
0.466,9.684
0.467,9.677
0.468,9.67
0.469,9.663
0.47,9.656
0.471,9.649
0.472,9.643
0.473,9.636
0.474,9.629
0.475,9.622
0.476,9.616
0.477,9.609
0.478,9.602
0.479,9.595
0.48,9.589
0.481,9.582
0.482,9.575
0.483,9.569
0.484,9.562
0.485,9.555
0.486,9.549
0.487,9.542
0.488,9.536
0.489,9.529
0.49,9.522
0.491,9.516
0.492,9.509
0.493,9.503
0.494,9.496
0.495,9.49
0.496,9.483
0.497,9.477
0.498,9.471
0.499,9.464
0.501,9.458
0.502,9.451
0.503,9.445
0.504,9.439
0.505,9.433
0.506,9.426
0.507,9.42
0.508,9.414
0.509,9.408
0.51,9.401
0.511,9.395
0.512,9.389
0.513,9.383
0.514,9.377
0.515,9.371
0.516,9.365
0.517,9.359
0.518,9.353
0.519,9.347
0.52,9.341
0.521,9.335
0.522,9.329
0.523,9.323
0.524,9.317
0.525,9.311
0.526,9.305
0.527,9.3
0.528,9.294
0.529,9.288
0.53,9.282
0.531,9.277
0.532,9.271
0.533,9.265
0.534,9.26
0.535,9.254
0.536,9.248
0.537,9.243
0.538,9.237
0.539,9.232
0.54,9.226
0.541,9.221
0.542,9.216
0.543,9.21
0.544,9.205
0.545,9.199
0.546,9.194
0.547,9.189
0.548,9.184
0.549,9.178
0.55,9.173
0.551,9.168
0.552,9.163
0.553,9.158
0.554,9.153
0.555,9.148
0.556,9.142
0.557,9.137
0.558,9.132
0.559,9.128
0.56,9.123
0.561,9.118
0.562,9.113
0.563,9.108
0.564,9.103
0.565,9.098
0.566,9.093
0.567,9.089
0.568,9.084
0.569,9.079
0.57,9.075
0.571,9.07
0.572,9.065
0.573,9.061
0.574,9.056
0.575,9.052
0.576,9.047
0.577,9.043
0.578,9.038
0.579,9.034
0.58,9.029
0.581,9.025
0.582,9.021
0.583,9.016
0.584,9.012
0.585,9.008
0.586,9.003
0.587,8.999
0.588,8.995
0.589,8.991
0.59,8.987
0.591,8.982
0.592,8.978
0.593,8.974
0.594,8.97
0.595,8.966
0.596,8.962
0.597,8.958
0.598,8.954
0.599,8.95
0.6,8.946
0.601,8.942
0.602,8.938
0.603,8.934
0.604,8.931
0.605,8.927
0.606,8.923
0.607,8.919
0.608,8.915
0.609,8.912
0.61,8.908
0.611,8.904
0.612,8.901
0.613,8.897
0.614,8.893
0.615,8.89
0.616,8.886
0.617,8.883
0.618,8.879
0.619,8.875
0.62,8.872
0.621,8.868
0.622,8.865
0.623,8.861
0.624,8.858
0.625,8.855
0.626,8.851
0.627,8.848
0.628,8.844
0.629,8.841
0.63,8.838
0.631,8.834
0.632,8.831
0.633,8.828
0.634,8.824
0.635,8.821
0.636,8.818
0.637,8.815
0.638,8.811
0.639,8.808
0.64,8.805
0.641,8.802
0.642,8.798
0.643,8.795
0.644,8.792
0.645,8.789
0.646,8.786
0.647,8.783
0.648,8.78
0.649,8.776
0.65,8.773
0.651,8.77
0.652,8.767
0.653,8.764
0.654,8.761
0.655,8.758
0.656,8.755
0.657,8.752
0.658,8.749
0.659,8.746
0.66,8.743
0.661,8.74
0.662,8.737
0.663,8.734
0.664,8.731
0.665,8.728
0.666,8.725
0.667,8.722
0.668,8.719
0.669,8.716
0.67,8.713
0.671,8.71
0.672,8.707
0.673,8.704
0.674,8.701
0.675,8.699
0.676,8.696
0.677,8.693
0.678,8.69
0.679,8.687
0.68,8.684
0.681,8.681
0.682,8.678
0.683,8.675
0.684,8.672
0.685,8.669
0.686,8.667
0.687,8.664
0.688,8.661
0.689,8.658
0.69,8.655
0.691,8.652
0.692,8.649
0.693,8.646
0.694,8.643
0.695,8.64
0.696,8.638
0.697,8.635
0.698,8.632
0.699,8.629
0.7,8.626
0.701,8.623
0.702,8.62
0.703,8.617
0.704,8.614
0.705,8.611
0.706,8.608
0.707,8.605
0.708,8.603
0.709,8.6
0.71,8.597
0.711,8.594
0.712,8.591
0.713,8.588
0.714,8.585
0.715,8.582
0.716,8.579
0.717,8.576
0.718,8.573
0.719,8.57
0.72,8.567
0.721,8.564
0.722,8.561
0.723,8.558
0.724,8.555
0.725,8.552
0.726,8.549
0.727,8.546
0.728,8.543
0.729,8.54
0.73,8.537
0.731,8.534
0.732,8.531
0.733,8.528
0.734,8.525
0.735,8.522
0.736,8.519
0.737,8.515
0.738,8.512
0.739,8.509
0.74,8.506
0.741,8.503
0.742,8.5
0.743,8.497
0.744,8.494
0.745,8.491
0.746,8.487
0.747,8.484
0.748,8.481
0.749,8.478
0.75,8.475
0.751,8.472
0.752,8.468
0.753,8.465
0.754,8.462
0.755,8.459
0.756,8.456
0.757,8.452
0.758,8.449
0.759,8.446
0.76,8.443
0.761,8.44
0.762,8.436
0.763,8.433
0.764,8.43
0.765,8.427
0.766,8.423
0.767,8.42
0.768,8.417
0.769,8.413
0.77,8.41
0.771,8.407
0.772,8.404
0.773,8.4
0.774,8.397
0.775,8.394
0.776,8.39
0.777,8.387
0.778,8.384
0.779,8.38
0.78,8.377
0.781,8.374
0.782,8.37
0.783,8.367
0.784,8.364
0.785,8.36
0.786,8.357
0.787,8.354
0.788,8.35
0.789,8.347
0.79,8.344
0.791,8.34
0.792,8.337
0.793,8.334
0.794,8.33
0.795,8.327
0.796,8.324
0.797,8.32
0.798,8.317
0.799,8.314
0.8,8.31
0.801,8.307
0.802,8.304
0.803,8.3
0.804,8.297
0.805,8.293
0.806,8.29
0.807,8.287
0.808,8.283
0.809,8.28
0.81,8.277
0.811,8.273
0.812,8.27
0.813,8.267
0.814,8.263
0.815,8.26
0.816,8.257
0.817,8.254
0.818,8.25
0.819,8.247
0.82,8.244
0.821,8.24
0.822,8.237
0.823,8.234
0.824,8.231
0.825,8.227
0.826,8.224
0.827,8.221
0.828,8.218
0.829,8.214
0.83,8.211
0.831,8.208
0.832,8.205
0.833,8.201
0.834,8.198
0.835,8.195
0.836,8.192
0.837,8.189
0.838,8.186
0.839,8.182
0.84,8.179
0.841,8.176
0.842,8.173
0.843,8.17
0.844,8.167
0.845,8.164
0.846,8.161
0.847,8.158
0.848,8.155
0.849,8.152
0.85,8.149
0.851,8.146
0.852,8.143
0.853,8.14
0.854,8.137
0.855,8.134
0.856,8.131
0.857,8.128
0.858,8.125
0.859,8.122
0.86,8.119
0.861,8.117
0.862,8.114
0.863,8.111
0.864,8.108
0.865,8.105
0.866,8.103
0.867,8.1
0.868,8.097
0.869,8.094
0.87,8.092
0.871,8.089
0.872,8.086
0.873,8.084
0.874,8.081
0.875,8.078
0.876,8.076
0.877,8.073
0.878,8.071
0.879,8.068
0.88,8.066
0.881,8.063
0.882,8.061
0.883,8.058
0.884,8.056
0.885,8.053
0.886,8.051
0.887,8.048
0.888,8.046
0.889,8.044
0.89,8.041
0.891,8.039
0.892,8.037
0.893,8.034
0.894,8.032
0.895,8.03
0.896,8.028
0.897,8.026
0.898,8.023
0.899,8.021
0.9,8.019
0.901,8.017
0.902,8.015
0.903,8.013
0.904,8.011
0.905,8.009
0.906,8.006
0.907,8.004
0.908,8.002
0.909,8.0
0.91,7.998
0.911,7.996
0.912,7.995
0.913,7.993
0.914,7.991
0.915,7.989
0.916,7.987
0.917,7.985
0.918,7.983
0.919,7.981
0.92,7.98
0.921,7.978
0.922,7.976
0.923,7.974
0.924,7.973
0.925,7.971
0.926,7.969
0.927,7.967
0.928,7.966
0.929,7.964
0.93,7.962
0.931,7.961
0.932,7.959
0.933,7.957
0.934,7.956
0.935,7.954
0.936,7.953
0.937,7.951
0.938,7.95
0.939,7.948
0.94,7.946
0.941,7.945
0.942,7.943
0.943,7.942
0.944,7.94
0.945,7.939
0.946,7.937
