time,pressure
0.0,10.0722
0.01,10.3661
0.02,10.5998
0.03,10.8054
0.04,11.0047
0.05,11.2117
0.06,11.4338
0.07,11.6738
0.08,11.9309
0.09,12.202
0.1,12.4821
0.11,12.7655
0.12,13.0463
0.13,13.3184
0.14,13.5764
0.15,13.8153
0.16,14.0312
0.17,14.2209
0.18,14.3823
0.19,14.5139
0.2,14.6156
0.21,14.6876
0.22,14.7311
0.23,14.7478
0.24,14.74
0.25,14.7104
0.26,14.6617
0.27,14.5971
0.28,14.5197
0.29,14.4325
0.3,14.3386
0.31,14.2408
0.32,14.1414
0.33,14.0429
0.34,13.9472
0.35,13.8557
0.36,13.7697
0.37,13.69
0.38,13.6172
0.39,13.5513
0.4,13.4923
0.41,13.4398
0.42,13.393
0.43,13.3512
0.44,13.3133
0.45,13.2783
0.46,13.245
0.47,13.2123
0.48,13.1789
0.49,13.1438
0.5,13.106
0.51,13.0647
0.52,13.0192
0.53,12.9688
0.54,12.9134
0.55,12.8526
0.56,12.7866
0.57,12.7155
0.58,12.6397
0.59,12.5597
0.6,12.4762
0.61,12.39
0.62,12.3018
0.63,12.2126
0.64,12.1231
0.65,12.0344
0.66,11.9471
0.67,11.862
0.68,11.7797
0.69,11.7005
0.7,11.6249
0.71,11.5528
0.72,11.4842
0.73,11.4189
0.74,11.3564
0.75,11.2962
0.76,11.2375
0.77,11.1796
0.78,11.1216
0.79,11.0627
0.8,11.0022
0.81,10.9393
0.82,10.8738
0.83,10.8053
0.84,10.734
0.85,10.6603
0.86,10.585
0.87,10.5094
0.88,10.4351
0.89,10.3639
0.9,10.2981
0.91,10.2399
0.92,10.1915
0.93,10.1545
0.94,10.1299
0.95,10.1175
0.96,10.115
0.97,10.1179
0.98,10.1178
0.99,10.102
1.0,10.052
